Sentence,Label
"There is a pattern to how the numbers are written from 1 to 100, but we can’t hear a regular pattern in the way we say the numbers until we get to the number 20.For example, count aloud from 31 to 40 using the number grid below.",Numbers to 100 in numerals and words
"The way we say these numbers is the order we write them as digits.For example, we say 'thirty-one'.",Numbers to 100 in numerals and words
"We say the tens first, followed by the ones.",Numbers to 100 in numerals and words
Put the arrow cards together to get the number 31 in numerals.,Numbers to 100 in numerals and words
This pattern continues for the numbers to 99.,Numbers to 100 in numerals and words
Try counting aloud from 41 to 50 using the grid above.,Numbers to 100 in numerals and words
Listen for the order of the tens and ones.,Numbers to 100 in numerals and words
Now look at the numbers highlighted on the grid below.,Numbers to 100 in numerals and words
Count aloud from 11 to 20.,Numbers to 100 in numerals and words
"This time, can you hear the ones first followed by the tens?",Numbers to 100 in numerals and words
The way we say these numbers isn’t the order in which we write them as digits.,Numbers to 100 in numerals and words
"For the number sixteen, 'six' is the ones word and 'teen' is the tens word.",Numbers to 100 in numerals and words
"We say the ones first, then tens.",Numbers to 100 in numerals and words
"However, when you write the number in numerals, the tens come before the ones.",Numbers to 100 in numerals and words
Place value is really important when building up numbers.,"Numbers to 1,000"
"The order the digits are written in a number determine its value.To remind you what place value is, here's an introduction with some dinosaur friends.","Numbers to 1,000"
A number can be made of more than one digit.,"Numbers to 1,000"
"We use place value headings, like ones, tens, hundreds and thousands to help us understand the value of each digit.","Numbers to 1,000"
"How do you represent the number 167 with a place value chart?The number 167 is made of the digits 1, 6 and 7.","Numbers to 1,000"
"We can use a place value to chart to express the number 167 like this:HundredsTensOnes167 In other words, 1 hundred, 6 tens and 7 ones.","Numbers to 1,000"
This number can also be represented in other ways without using numbers.,"Numbers to 1,000"
Each pictorial representation in the slideshow below shows 167.,"Numbers to 1,000"
"Remember, if the digits were put in a different order, the number would change completely.","Numbers to 1,000"
"Let's rearrange the digits 1, 6 and 7 into 671 to see how it changes the number.","Numbers to 1,000"
The same digits have been used but they are in a different order.,"Numbers to 1,000"
Their value completely changes.,"Numbers to 1,000"
Ellie wants to show the number 345 using place value counters.,"Numbers to 1,000"
Can you help her?The first thing you need to do is partition the number.,"Numbers to 1,000"
"That's 3 hundreds, 4 tens and 5 ones.","Numbers to 1,000"
Now put them together to represent 345: Dinosaur digitsClick on the image below to see if you can make the correct number.,"Numbers to 1,000"
"Place value helps us work out the value of a digit depending on its place or position in a number.Place value can be expressed in terms of hundreds, tens and ones.For example the number 333 can be represented like this:hundredstensones333 This chart shows how the number can be partitioned into hundreds, tens and ones.",Partition numbers to 1000
Partitioning numbers is useful for when you want to add or subtract larger numbers.,Partition numbers to 1000
"As well as place value charts, you can show a partitioned number in different ways.",Partition numbers to 1000
"Look at how else 333 can be partitioned: 300 + 30 + 3 = 333Each of these models represents 3 hundreds, 3 tens and 3 ones.",Partition numbers to 1000
"How to partition 679 To partition a number, you have to look at how many hundreds, tens and ones there are.",Partition numbers to 1000
"679 has 6 hundreds, 7 tens and 9 ones.",Partition numbers to 1000
600 + 70 + 9 = 679 You could also say that 679 is made of 67 tens and 9 ones or 679 ones!,Partition numbers to 1000
Example 2:Which picture does not represent 523?Take a look at the pictures below.,Partition numbers to 1000
Can you see which one does not represent 523?,Partition numbers to 1000
"Work out what each picture is representing, first.",Partition numbers to 1000
A - The part-whole model shows 500 + 20 + 3.,Partition numbers to 1000
That equals 523!,Partition numbers to 1000
"B - There are 5 hundreds, 3 tens and 2 ones in the place value counters.",Partition numbers to 1000
That creates the number 532.,Partition numbers to 1000
"C - The Base 10 shows 5 hundreds, 2 tens and 3 ones.",Partition numbers to 1000
That's 523.,Partition numbers to 1000
"So B, the place value counters, do not represent 523.",Partition numbers to 1000
Did you get it right?,Partition numbers to 1000
Put your knowledge of place value and partitioning numbers to the test with this quiz.,Partition numbers to 1000
Watch this video about finding the position of numbers on a number line using tens and ones (also known as units).,Represent numbers to 100
Click through the slideshow to see some different ways to show numbers.,Represent numbers to 100
"In this quiz you will find numbers represented in different ways, can you work out what the number is?",Represent numbers to 100
Watch this video and learn how to count in steps of 100 using a number line and a place value chart.,Counting in 100s
"When you count up and down in hundreds, it is just like when you count in tens.",Counting in 100s
"Only this time, you are changing the hundreds digit.",Counting in 100s
The tens and ones stay the same.,Counting in 100s
Look at this number line: Can you see how only the hundreds column is changing each time?,Counting in 100s
"When you reach 1000, you begin to use the thousands column.",Counting in 100s
"Remember, 1000 is the same as 10 hundreds.",Counting in 100s
What is three-hundred more than 231?Three hundred is the same as three lots of 100.,Counting in 100s
Use the number line to help you count up in hundreds.,Counting in 100s
So three-hundred more than 231 is 531.Counting up and down in hundreds is the same as adding or subtracting hundreds.,Counting in 100s
You could also write this question as 231 + 300 = 531.,Counting in 100s
What is two-hundred less than 854?Place value charts can also help you to count in hundreds.,Counting in 100s
Here is 854 in a place value chart.,Counting in 100s
"To find two hundred less, you take away two of the hundred counters in the hundreds column to find the answer.",Counting in 100s
"Now you are left with 6 hundreds, 5 tens and 4 ones.",Counting in 100s
"So the answer is: 654As a subtraction, you would write this question: 854 – 200 = 654 A clown has 133 balloons.",Counting in 100s
He buys 3 more packs of 100 balloons.,Counting in 100s
"How many balloons does he have now?This question is asking you how many more balloons the clown has, so you need to count on and add.",Counting in 100s
Use the number line method and the place value method to help you answer the question.,Counting in 100s
Will you get the same answer each time?,Counting in 100s
Three hundred more than 133 is 433.,Counting in 100s
You can double-check the answer using the place value method.,Counting in 100s
"Add three more hundreds into the hundreds column: You now have 4 hundreds, 3 tens and 3 ones.",Counting in 100s
That’s 433 as well!,Counting in 100s
We can compare amounts using these mathematical symbols.,"Compare numbers up to 10,000"
Greater than and less than are known as inequalities.= is known as an equality and means equal to or the same as.,"Compare numbers up to 10,000"
Jess and JJ each have a jar of sweets.Can you compare how many sweets they have?,"Compare numbers up to 10,000"
"Jess has 234 sweets in her jar and JJ has 175.Complete the statement below using the symbols >, < or =:234 ____ 175Let's compare these numbers using a place value table.","Compare numbers up to 10,000"
"We can see straight away in the first column that 234 has more hundreds than 175 so without looking at the other columns we know:234 >175 Complete the statement below using the symbols >, < or =:301 ____ 365In this example the hundreds are the same so we take a look at the tens next.","Compare numbers up to 10,000"
301 has less tens than 365 so we can say:301 < 365 Which symbol < or > should go in the gap?,"Compare numbers up to 10,000"
9732 __ 9723 Both numbers use the same digits.,"Compare numbers up to 10,000"
Look carefully at each place value column.,"Compare numbers up to 10,000"
"9732 has 9 thousands, 7 hundreds, 3 tens and 2 ones.","Compare numbers up to 10,000"
"9723 has 9 thousands, 7 hundreds, 2 tens and three ones.","Compare numbers up to 10,000"
"Since both numbers have the same amount of thousands and hundreds, you have to look at the tens to decide which has a larger amount - 9732!","Compare numbers up to 10,000"
9732 > 9723 Which is the second smallest number here?,"Compare numbers up to 10,000"
"6278612964526124 All numbers are in the 6 thousands, so you should look at the hundreds column to help you order them from smallest to largest.","Compare numbers up to 10,000"
"Since two of them have the same amount of hundreds and tens, look at the ones to compare.","Compare numbers up to 10,000"
"6124612962786452 Now they are in ascending order, you can see that 6129 is the second smallest number in the list.","Compare numbers up to 10,000"
Practise what you have learned with this quiz.,"Compare numbers up to 10,000"
It is important to understand the place value of each digit in a number to be able to order numbers.,"Order numbers up to 100,000"
Some ways that can help you to identify the place value of each digit are:place value chartspart-whole modelsbase 10 countersThese can help you decide whether a number is larger or smaller than another.,"Order numbers up to 100,000"
Put these numbers in ascending order.,"Order numbers up to 100,000"
"First, work out what number each representation is showing.","Order numbers up to 100,000"
"A is made up of 3 ten thousands, 4 thousands, 1 hundred, 2 tens and 1 one, making 34,121.","Order numbers up to 100,000"
"B is already written as a number - 32,769.","Order numbers up to 100,000"
"C has 3 ten thousands, 3 thousands, 2 hundreds, 2 tens and 1 one, making 33,221.","Order numbers up to 100,000"
You can now compare the numbers.,"Order numbers up to 100,000"
"All of them are in the thirty thousands, so look at the thousands column.","Order numbers up to 100,000"
"The smaller the number in the thousands, the smaller the number!","Order numbers up to 100,000"
"By comparing the thousands, the numbers are now in ascending order.","Order numbers up to 100,000"
What if the thousands are the same?,"Order numbers up to 100,000"
You would look at the hundreds column instead to compare those digits!,"Order numbers up to 100,000"
Put these numbers in descending order.,"Order numbers up to 100,000"
"Again, work out what number each place value representation shows.","Order numbers up to 100,000"
"A - The counters show 4 ten thousands, 1 thousand, 2 hundreds, 1 ten and 2 ones - 41,212.","Order numbers up to 100,000"
"B - The place value chart shows 4 ten thousands, 1 thousand, 2 hundreds, 3 tens and 1 one - 41,231.","Order numbers up to 100,000"
C - The number line involves some estimation.,"Order numbers up to 100,000"
"The arrow appears half way between 41,100 and 41,200, so it must be pointing at 41,150.","Order numbers up to 100,000"
"All of the numbers have the same amount of ten thousands and thousands, so look at the hundreds to compare them.","Order numbers up to 100,000"
"A and B also have the same amount of hundreds, so just move onto the tens to compare the numbers.","Order numbers up to 100,000"
Here are the numbers in descending order:,"Order numbers up to 100,000"
Numbers in the hundred thousands have six digits.,Numbers up to a million
There are lots of places you can find numbers in the hundred thousands.They can be found in the population of cities and countries.,Numbers up to a million
"For example, the population of Manchester in England is estimated to be around 575,000.",Numbers up to a million
They can be used in distances.,Numbers up to a million
"The distance from the Earth to the Moon is about 240,000 miles.Can you think of any more examples of where we use numbers in the hundred thousands?",Numbers up to a million
Watch this video for a tutorial about numbers up to a million from maths teacher Mr Smith.,Numbers up to a million
"When working with big numbers, place value grids are a great way to see how the number is made.",Numbers up to a million
"This place value chart breaks the number down into hundred thousands, ten thousands, thousands, hundreds, tens and ones.If you added three more counters to the ten thousands column below, what number would you have?",Numbers up to a million
"The number in the chart is made up of:4 hundred thousands3 ten thousands4 thousands5 hundreds3 tens3 onesThat is 434,533.",Numbers up to a million
"If three more counters are added to the ten thousands column, you could write that as an addition:434,533 + 30,000 = 464,533Remember, only the digit in the ten thousands column changes, the rest of the digits stay the same.",Numbers up to a million
"Mary has written this number 2321,54.",Numbers up to a million
"She says, “the value of the 3 is three hundred thousand.” Is she correct?Use a place value chart to check.",Numbers up to a million
"Oh dear, Mary is incorrect!",Numbers up to a million
The value of the 3 is thirty thousand (or 3 ten thousands).,Numbers up to a million
"She must have gotten confused with her place value as she had also written the comma in the wrong place!232,154 is the correct way to write the number.",Numbers up to a million
Place value chart shows numbers beyond the decimal point.,Thousandths as decimals
"Beyond the decimal point we have tenths, hundredths and thousandths.",Thousandths as decimals
Thousandths can be represented as a fraction and as a decimal.,Thousandths as decimals
"Look at the structure of a place value chart and the relationship between 1, \( \frac{1}{10} \) \( \frac{1}{100} \) and \( \frac{1}{1000} \)10 tenths = 1 whole10 hundredths = 1 tenth10 thousandths = 1 hundredth These cards show 1 \( \frac{1}{10}\) \( \frac{1}{100}\) and \( \frac{1}{1000} \) and their equivalent decimals.One is ten times the size of one tenth.1 = 10 x \( \frac{1}{10} \)One tenth is ten times the size of one hundredth.\( \frac{1}{10}\) = 10 x \( \frac{1}{100}\)or \( \frac{10}{100}\)One hundredth is ten times the size of one thousandth.\( \frac{1}{100}\) = 10 x \( \frac{1}{1000}\) or \( \frac{10}{1000}\) Let’s look at some different examples of 0, 2, 7 and 9, positioned in a place value chart.Can you see the relationship between the number and the ones, tenths, hundredths and thousandths that is made up of?",Thousandths as decimals
We can also use a number line to plot thousandths.Let's show 0.758 on a number line.,Thousandths as decimals
There is 1 hundredth between 0.75 and 0.76 and the 1 hundredth is divided into 10 increments.,Thousandths as decimals
"1 hundredth = 10 thousandths, so these increments represent the thousandths.",Thousandths as decimals
0.758 is eight thousandths more than 0.75.0.75 + 0.008 = 0.758 0.758 is two thousandths less than 0.76.0.76 - 0.002 = 0.758 Put your place value knowledge to the test in this quiz.,Thousandths as decimals
A decimal is a way of writing a number that is not whole.,What are decimals?
Decimal numbers are 'in between' numbers.,What are decimals?
"For example, 10.4 is in between the numbers 10 and 11.",What are decimals?
"It is more than 10, but less than 11.Take care when reading the values of decimal numbers.4.2 means 4 and 2 tenths.4.20 means 4 and 2 tenths and 0 one-hundredths.",What are decimals?
The last zero does not need to be there.4.02 means 4 and 0 tenths and 2 one-hundredths.,What are decimals?
Arrange the digits to make a decimal.,What are decimals?
Put the decimals in order.,What are decimals?
Have a go at putting the decimals in order.,What are decimals?
Watch: The 2 times table songLearn about the 2x tables with this fun song.,The two times table
ActivitiesHave a go at these 2 times table activities.,The two times table
Activity 2 Activity 3,The two times table
"Knowing your three times table really helps with your mental arithmetic, which will be handy in everyday life.",The 3 times table
Here is the three times table:1 x 3 = 37 x 3 = 212 x 3 = 68 x 3 = 243 x 3 = 99 x 3 = 274 x 3 = 1210 x 3 = 305 x 3 = 1511 x 3 = 336 x 3 = 1812 x 3 = 36 Watch the video from Supermovers to help you learn the three times table with Professor Pipette.,The 3 times table
Bertie bought 7 boxes of cupcakes.,The 3 times table
Each box has 3 cupcakes.,The 3 times table
How many cupcakes has he bought altogether?Use the array to help you work this out.,The 3 times table
3 lots of 7 (or 7 lots of 3) is 21.3 x 7 = 217 x 3 = 21 Take a look at the bar model.,The 3 times table
How could you work out the missing values?,The 3 times table
There are 3 missing values.,The 3 times table
So 3 x ?,The 3 times table
= 18.Use the inverse operation to work out the missing value.18 ÷ 3 = ?Let’s share 18 counters into three groups to help.,The 3 times table
The missing value is 6.6 x 3 = 183 x 6 = 18 *Compare these two number sentences.,The 3 times table
"Which symbol should be added to the box < , = or > ?",The 3 times table
"** First, you need to work out what each division or multiplication equals.36 ÷ 3 = 123 x 4 = 12They both have the same answer!",The 3 times table
Therefore you need to use the equal sign.,The 3 times table
"Did you know that there is an easy test to see whether a number is a multiple of 3 or not?If you added up all the digits of the number, and the answer is 3, 6 or 9, it is a multiple of 3!For example, is 324 a multiple of 3?3 + 2 + 4 = 9 Yes it is!",The 3 times table
"If you know your 2 times table, then you’ll be able to crack the 4s in no time.",The 4 times table
Look at the 2 times table and the 4 times table below.,The 4 times table
Can you see the relationship between them?In each case the 4 times table is double the number in the 2 times table.,The 4 times table
"The 4 Times TableThe 2 Times Table1 x 4 = 41 x 2 = 22 x 4 = 82 x 2 = 43 x 4 = 123 x 2 = 64 x 4 = 164 x 2 = 85 x 4 = 205 x 2 = 106 x 4 = 246 x 2 = 127 x 4 = 287 x 2 = 148 x 4 = 328 x 2 = 169 x 4 = 369 x 2 = 1810 x 4 = 4010 x 2 = 20 If you're feeling active, why not sing and dance along with the Supermovers to help you learn your 4 times table?",The 4 times table
How can you use the 2 times table to work out 7 x 4?Look at this array.,The 4 times table
It shows that 2 x 7 = 14.,The 4 times table
"If the 4 times table is double the 2 times table, then you can double the array to find the answer to 4 x 7.",The 4 times table
Double 7 is 14 and double 14 is 28.7 x 4 = 28 Does this trick work with division too?Yes!,The 4 times table
"But this time, you would do the opposite and halve and halve again!",The 4 times table
"How can 24 ÷ 2 help you solve 24 ÷ 4?First, let's solve 24 ÷ 2.",The 4 times table
"This part-whole model shows 24 is made of two parts of 12: Now that you know that 24 ÷ 2 = 12, you halve that answer to find 24 ÷ 4.",The 4 times table
Half of 24 is 12 and half of 12 is 6.,The 4 times table
24 ÷ 4 = 6 Mindy counted 8 cars going past on her way to school.,The 4 times table
"How many wheels were there altogether on the cars?You can use your 4 times table knowledge to work out this problem.Since there are 4 wheels on a car, you need to work out 8 lots of 4: 8 x 4 = 32There were 32 wheels altogether.",The 4 times table
You can double check this by using repeated addition: 4 + 4 + 4 + 4 + 4 + 4 + 4 + 4 = 32,The 4 times table
Watch: The 5 times table songLearn about the 5 times table with this fun song!,What is the 5 times table?
ActivitiesHave a go at these activities to help you learn your 5 times tables.,What is the 5 times table?
Activity 1 Activity 2 Activity 3 Quiz,What is the 5 times table?
Watch this Supermovers video with Fred the Red to learn a fun song about the 6 times table.,6 times table and division facts
Here is the 6 times table: 1 × 6 = 67 × 6 = 422 × 6 = 128 × 6 = 483 × 6 = 189 × 6 = 544 × 6 = 2410 × 6 = 605 × 6 = 3011 × 6 = 666 × 6 = 3612 × 6 = 72 Did you know that the 6 times table is the 3 times table doubled?,6 times table and division facts
The 6 times table shares some common even multiples of the 3 times table!,6 times table and division facts
For example: 1 × 6 = 6 and 2 × 3 = 62 × 6 = 12 and 4 × 3 = 123 × 6 = 18 and 6 × 3 = 18 You can apply your 6 times table knowledge to division facts as well as harder problems.,6 times table and division facts
"Remember, division is the inverse operation of multiplication.",6 times table and division facts
"If 7 × 6 = 42, then 42 ÷ 6 = 7 A fact family is a group of numbers that all relate to each other.",6 times table and division facts
"In this case, the array can form two multiplications and two divisions.",6 times table and division facts
The array shows 6 lots of 8 or 8 lots of 6.,6 times table and division facts
"As a multiplication, that’s:6 × 8 = 48 and 8 × 6 = 48Using the multiplication facts, you can find the inverse operations by rearranging the numbers.48 ÷ 6 = 8 and 48 ÷ 8 = 6So: 6 × 8 = 488 × 6 = 4848 ÷ 6 = 848 ÷ 8 = 6 If the answer has been multiplied by 10, then one of the factors being multiplied also has to be multiplied by 10.Since 12 has remained the same in both multiplications, 6 must have been multiplied by 10 too in order to become 60.",6 times table and division facts
60 × 12 = 720,6 times table and division facts
Watch this Supermovers video with Moonbeam to learn a fun song about the 7 times table.,7 times table and division facts
Learning your 7 times table is useful in everyday life.,7 times table and division facts
"For example, there are 7 days in a week.",7 times table and division facts
It is a number we use on a regular basis.,7 times table and division facts
"Imagine you wanted to count down to an important event or a holiday, you could convert it into days or weeks if you knew your 7 times table!",7 times table and division facts
1 × 7 = 77 × 7 = 492 × 7 = 148 × 7 = 563 × 7 = 219 × 7 = 634 × 7 = 2810 × 7 = 705 × 7 = 3511 × 7 = 776 × 7 = 4212 × 7 = 84 Emma goes on holiday in 15 weeks.,7 times table and division facts
"How many days is that?So far, we've only looked at the 7 times table up to 12 × 7.",7 times table and division facts
How could you work out 15 × 7?One way would be to work out 10 × 7 and 5 × 7 and then add them together.,7 times table and division facts
"Any combination of facts would work, as long as the total number of weeks is 15.",7 times table and division facts
"10 × 7 = 705 × 7 = 35Then add the add those answers together.70 + 35 = 105Therefore, 15 weeks is the same as 105 days.",7 times table and division facts
Jian accidentally ordered 630 balloons for a party.,7 times table and division facts
Each packet contains 70 balloons.,7 times table and division facts
"How many packets did Jian order?To solve this problem, you will have to divide.630 ÷ 70 = ?Both 630 and 70 are ten times greater than they appear in the times table.",7 times table and division facts
You can use your knowledge of dividing by 10 to divide both numbers so that they are more manageable.,7 times table and division facts
Both numbers must be divided by 10 to get the correct answer.,7 times table and division facts
"Now you can see that the answer is 9, so Jian ordered 9 packets of balloons.",7 times table and division facts
Count forwards and backwards in eights using this counting stick.,Multiplying and dividing by 8
"If we know the answer to a multiplication number sentence or multiplication fact we can work out the answer to an unknown number sentence by adding or subtracting.Use the counting stick to help work out what 6 × 8 is.6 × 8 = 48If we know 6 × 8, how could this help us to work out 7 × 8?",Multiplying and dividing by 8
We just add another 8.,Multiplying and dividing by 8
7 x 8 = 56 A multiplication fact is the answer to a multiplication calculation.In 6 × 8 = 48 the multiplication fact is 48.,Multiplying and dividing by 8
How many apples are in this image?How could you work it out without counting each apple?,Multiplying and dividing by 8
There are 11 octopuses swimming near the shore.,Multiplying and dividing by 8
"How many legs are there altogether?We know that octopuses have 8 legs, so the equation we need to work out is 11 x 8.",Multiplying and dividing by 8
We know from looking at the number stick that:10 x 8 = 80So to find 11 x 8 we add another 8.,Multiplying and dividing by 8
"11 x 8 = 88So, there are 88 legs altogether.",Multiplying and dividing by 8
Division facts are division number sentences related to a times table.If we know from the previous example that 6 × 8 = 48 then a division fact related to this could be 48 ÷ 8 = 6We can use known division facts to work out unknown division facts.There are 56 sweets and we want to share them between 8 people.,Multiplying and dividing by 8
56 ÷ 8 = 7If 56 ÷ 8 = 7 then 56 ÷ 7 =?Using the number fact 56 ÷ 8 = 7 we can work out that 56 ÷ 7 = 8 Use your knowledge of multiples of 8 to multiply and divide by 8 in this quiz.,Multiplying and dividing by 8
Watch this Supermovers video with the Rapping Unicorn to learn a fun song about the 9 times table.,9 times table and division facts
The 9 times table can be really easy to learn if you know some simple tricks!Notice what happens to the tens and ones column:1 × 9 = 097 × 9 = 632 × 9 = 188 × 9 = 723 × 9 = 279 × 9 = 814 × 9 = 3610 × 9 = 905 × 9 = 4511 × 9 = 996 × 9 = 5412 × 9 = 108 Can you see how the ones column is decreasing by one each time until it reaches zero and it goes back to 9?,9 times table and division facts
The tens column increases by one each time.,9 times table and division facts
You can easily tell whether a number is a multiple of 9 by adding the digits together.,9 times table and division facts
"If the sum of the digits equal 9, then the number is a multiple of 9!",9 times table and division facts
Let's test that out with a few examples.,9 times table and division facts
"Is 117 a multiple of 9?1 + 1 + 7 = 9✓ Yes, 117 is a multiple of 9.",9 times table and division facts
"Is 348 a multiple of 9?3 + 4 + 8 = 151 + 5 = 6✗ No, 348 isn’t a multiple of 9.You can also apply your knowledge of the 9 times table to answer more difficult problems.",9 times table and division facts
"Use 108 ÷ 12 = 9 to solve 10,800 ÷ __ = 12The first thing to do is compare the two divisions.",9 times table and division facts
"The missing number will be a multiple of 9 since that fact is missing.Now, compare the dividends (the number being divided).",9 times table and division facts
"10,800 is 100 times larger than 108.The 12 has stayed the same value, so that means the missing number must also be one hundred times larger!",9 times table and division facts
"9 x 100 = 900Therefore:10,800 ÷ 900 = 12This is where your knowledge of multiplying by 10 and 100 also comes in handy!",9 times table and division facts
Watch: The 10 times table songLearn the 10 times tables with this fun song.,The 10 times table
10 times table activitiesTest yourself on how much of the 10x table you can remember with these activities.,The 10 times table
Activity 2 Activity 3,The 10 times table
The 11 and 12 times tables have some interesting tricks that can help you to learn them.,11 and 12 times table
Watch this Supermovers video with Clara the Hen to learn a fun song about the 11 times table.,11 and 12 times table
Here is the 11 times table.1 x 11 = 117 x 11 = 772 x 11 = 228 x 11 = 883 x 11 = 339 x 11 = 994 x 11 = 4410 x 11 = 1105 x 11 = 5511 x 11 = 1216 x 11 = 6612 x 11 = 132 What do you notice about the numbers that are multiplied by 11 up to 9?,11 and 12 times table
The number you a multiplying repeats itself in the tens and ones in the answer!,11 and 12 times table
"But what happens when you multiply 11 by 10, 11 or 12?10 x 11 = 11011 x 11 = 12112 x 11 = 132 Can you see a pattern in the answers here?The numbers that you multiply by 11 seem to separate into the hundreds and the ones columns, with a new digit in the tens.How do you know what the digit in the tens column will be?",11 and 12 times table
You add the digits in the hundreds and ones column together!Does this work for numbers bigger than 12?,11 and 12 times table
What is 32 × 11?Step 1 - Separate the main number into the hundreds and the ones columns:32 × 11 = 3 _ 2 The 3 moves to the hundreds column while the 2 stays where it is.Step 2 - How do you know what the digit in the tens column will be?,11 and 12 times table
You add the digits in the hundreds and ones column together3 + 2 = 5 32 × 11 = 352 This trick will work for a lot of 2-digit numbers that you multiply by 11.,11 and 12 times table
"Be careful though, it doesn't work for all of them!",11 and 12 times table
Watch this Supermovers video with Chirpy Cockerel to practise the 12 times table.,11 and 12 times table
Take a look at the 12 times table and see if you can spot a pattern.,11 and 12 times table
"1 x 12 = 127 x 12 = 842 x 12 = 248 x 12 = 963 x 12 = 369 x 12 = 1084 x 12 = 4810 x 12 = 1205 x 12 = 6011 x 12 = 1326 x 12 = 7212 x 12 = 144 The digits in the ones column increases by 2 each time until it reaches zero, then the pattern begins again.The digits in the tens increase almost in consecutive numbers.",11 and 12 times table
The 11 and 12 times tables have some interesting tricks that can help you to learn them.,11 and 12 times table
Watch this Supermovers video with Clara the Hen to learn a fun song about the 11 times table.,11 and 12 times table
Here is the 11 times table.1 x 11 = 117 x 11 = 772 x 11 = 228 x 11 = 883 x 11 = 339 x 11 = 994 x 11 = 4410 x 11 = 1105 x 11 = 5511 x 11 = 1216 x 11 = 6612 x 11 = 132 What do you notice about the numbers that are multiplied by 11 up to 9?,11 and 12 times table
The number you a multiplying repeats itself in the tens and ones in the answer!,11 and 12 times table
"But what happens when you multiply 11 by 10, 11 or 12?10 x 11 = 11011 x 11 = 12112 x 11 = 132 Can you see a pattern in the answers here?The numbers that you multiply by 11 seem to separate into the hundreds and the ones columns, with a new digit in the tens.How do you know what the digit in the tens column will be?",11 and 12 times table
You add the digits in the hundreds and ones column together!Does this work for numbers bigger than 12?,11 and 12 times table
What is 32 × 11?Step 1 - Separate the main number into the hundreds and the ones columns:32 × 11 = 3 _ 2 The 3 moves to the hundreds column while the 2 stays where it is.Step 2 - How do you know what the digit in the tens column will be?,11 and 12 times table
You add the digits in the hundreds and ones column together3 + 2 = 5 32 × 11 = 352 This trick will work for a lot of 2-digit numbers that you multiply by 11.,11 and 12 times table
"Be careful though, it doesn't work for all of them!",11 and 12 times table
Watch this Supermovers video with Chirpy Cockerel to practise the 12 times table.,11 and 12 times table
Take a look at the 12 times table and see if you can spot a pattern.,11 and 12 times table
"1 x 12 = 127 x 12 = 842 x 12 = 248 x 12 = 963 x 12 = 369 x 12 = 1084 x 12 = 4810 x 12 = 1205 x 12 = 6011 x 12 = 1326 x 12 = 7212 x 12 = 144 The digits in the ones column increases by 2 each time until it reaches zero, then the pattern begins again.The digits in the tens increase almost in consecutive numbers.",11 and 12 times table
Build and test primary maths skills with hundreds of questions across eight topics.Learn and practise:Addition and subtractionMultiplication and divisionNumber and place valueFractionsMeasurementShapesPosition and direction Statistics Play a new set of challenges as you train through the dojo.,Maths KS1 - Karate Cats
Gain achievements throughout the game.,Maths KS1 - Karate Cats
The elite team of Karate Cats have completed their training and are now competing to be maths champions!,Maths KS1 - Karate Cats
"Join them and earn the bronze, silver and gold cups in loads of maths topics in this new adventure.",Maths KS1 - Karate Cats
"These cats love to dress up, keep playing to find more costumes for the Karate Cats to wear.Unlock challenge mode and impress Coach with a high score.",Maths KS1 - Karate Cats
Show off your new skills and become a maths-champion Karate Cat!,Maths KS1 - Karate Cats
Numbers don't just stop at zero.,What are negative numbers?
